"dbms","table_catalog","table_schema","table_name","column_name","ordinal_position","data_type","character_maximum_length","constraint_type","table_schema-2","table_name-2","column_name-2"
"postgresql","ecommerce_business","public","migrations","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","users","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","users","email",3,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","ecommerce_business","public","password_reset_tokens","email",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","sessions","id",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","cache","key",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","cache_locks","key",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","jobs","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","job_batches","id",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","failed_jobs","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","failed_jobs","uuid",2,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","ecommerce_business","public","plans","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","tenants","plan_id",4,"bigint",NULL,"FOREIGN KEY","public","plans","id"
"postgresql","ecommerce_business","public","tenants","id",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","tenants","name",2,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","ecommerce_business","public","tenants","api_token",6,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","ecommerce_business","public","domains","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","public","domains","tenant_id",3,"character varying",255,"FOREIGN KEY","public","tenants","id"
"postgresql","ecommerce_business","public","domains","domain",2,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","migrations","id",1,"integer",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","users","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","users","email",3,"character varying",255,"UNIQUE",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","password_reset_tokens","email",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","sessions","id",1,"character varying",255,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","categories","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","products","id",1,"bigint",NULL,"PRIMARY KEY",NULL,NULL,NULL
"postgresql","ecommerce_business","tenantfagor","products","category_id",11,"bigint",NULL,"FOREIGN KEY","tenantfagor","categories","id"
"postgresql","ecommerce_business","tenantfagor","products","sku",7,"integer",NULL,"UNIQUE",NULL,NULL,NULL
